Timestamp,Date,Intel_Type,Source_ID,District,Location,Content,Reliability,Urgency,Signal_Intensity,Label,Is_Attack_Day
2023-01-01 07:32:00,2023-01-01,PATROL,PTL-WES-323,West Singhbhum,Tonto,Report of wire/cable remnants found near Goilkera,0.81,HIGH,0.15,TRUE_SIGNAL,False
2023-01-01 08:09:00,2023-01-01,HUMINT,AST-WES-448,West Singhbhum,Goilkera,Asset unable to confirm any suspicious movement near Jareikela,0.58,MEDIUM,0.15,NOISE,False
2023-01-01 02:35:00,2023-01-01,OSINT,OSI-WES-487,West Singhbhum,Saranda,General news about development activities in Jareikela,0.6,LOW,0.15,NOISE,False
2023-01-01 07:55:00,2023-01-01,PATROL,PTL-WES-975,West Singhbhum,Chaibasa,Area domination in Tonto sector completed without incident,0.53,LOW,0.15,NOISE,False
2023-01-01 20:10:00,2023-01-01,SIGINT,SIG-WES-723,West Singhbhum,Tonto,No significant signal activity in Goilkera sector,0.55,LOW,0.15,NOISE,False
2023-01-01 08:04:00,2023-01-01,PATROL,QRT-WES-510,West Singhbhum,Goilkera,Area domination in Saranda sector completed without incident,0.31,HIGH,0.15,NOISE,False
2023-01-01 04:15:00,2023-01-01,OSINT,SOC-WES-371,West Singhbhum,Tonto,Routine weather updates for Saranda region,0.64,LOW,0.15,NOISE,False
2023-01-01 03:09:00,2023-01-01,SIGINT,SIG-WES-981,West Singhbhum,Goilkera,No significant signal activity in Tonto sector,0.45,HIGH,0.15,NOISE,False
2023-01-01 23:07:00,2023-01-01,PATROL,PTL-WES-796,West Singhbhum,Tonto,Routine patrol in Jareikela - no incidents,0.69,LOW,0.15,NOISE,False
2023-01-01 05:32:00,2023-01-01,PATROL,QRT-WES-612,West Singhbhum,Chaibasa,Area domination in Chaibasa sector completed without incident,0.2,LOW,0.15,NOISE,False
2023-01-01 10:31:00,2023-01-01,OSINT,OSI-WES-713,West Singhbhum,Chaibasa,Routine weather updates for Tonto region,0.47,LOW,0.15,NOISE,False
2023-01-01 21:30:00,2023-01-01,HUMINT,SRC-WES-231,West Singhbhum,Tonto,Informant mentions routine activity in Goilkera area,0.57,LOW,0.15,NOISE,False
2023-01-01 16:28:00,2023-01-01,HUMINT,INF-WES-548,West Singhbhum,Chaibasa,Asset unable to confirm any suspicious movement near Jareikela,0.4,LOW,0.15,NOISE,False
2023-01-01 01:55:00,2023-01-01,HUMINT,SRC-WES-169,West Singhbhum,Saranda,Informant reports unusual movement of 12 individuals near Tonto,0.62,LOW,0.15,TRUE_SIGNAL,False
2023-01-01 03:42:00,2023-01-01,HUMINT,SRC-WES-196,West Singhbhum,Jareikela,Source reports no unusual activity in Goilkera,0.59,LOW,0.15,NOISE,False
2023-01-01 17:28:00,2023-01-01,SIGINT,INT-WES-294,West Singhbhum,Goilkera,Standard civilian traffic patterns in Chaibasa,0.6,MEDIUM,0.15,NOISE,False
2023-01-01 07:10:00,2023-01-01,SIGINT,SIG-WES-195,West Singhbhum,Jareikela,Routine communication intercepted from Chaibasa area,0.53,LOW,0.15,NOISE,False
